node_id,lat,lon,floor,in_out,link1_id,link2_id,link3_id,link4_id,link5_id,link6_id,link7_id,link8_id
00001B000000000309CBFAA65DE67FC1,35.6690480 ,139.6892230 ,0,1,00001B000000000309CBF9265DEAFFC1, , , , , , , 
00001B000000000309CBF7265DEF7FC1,35.6688420 ,139.6897230 ,0,1,00001B000000000309CBF9265DEAFFC1,00001B000000000309CBF7265DEF7FC2, , , , , , 
00001B000000000309CBF6A65DEFFFC1,35.6688310 ,139.6897750 ,0,1,00001B000000000309CBF7265DEF7FC2,00001B000000000309CBF6A65DF07FC1, , , , , , 
00001B000000000309CBF6265DF0FFC1,35.6687840 ,139.6898180 ,0,1,00001B000000000309CBF6A65DF07FC1,00001B000000000309CBF5A65DF0FFC2, , , , , , 
00001B000000000309CBF5A65DF0FFC1,35.6687570 ,139.6898290 ,0,1,00001B000000000309CBF5A65DF0FFC2,00001B000000000309CBF5265DEFFFC1,00001B000000000309CBF5A65DF17FC1, , , , , 
00001B000000000309CBF9265DE57FC1,35.6689600 ,139.6891790 ,0,1,00001B000000000309CBF7265DEA7FC1, , , , , , , 
00001B000000000309CBF5265DEEFFC1,35.6687370 ,139.6897210 ,0,1,00001B000000000309CBF7265DEA7FC1,00001B000000000309CBF5265DEFFFC1, , , , , , 
00001B000000000309CBF5A65DF27FC1,35.6687600 ,139.6898910 ,0,1,00001B000000000309CBF5A65DF17FC1,00001B000000000309CBF5A65DF47FC1, , , , , , 
00001B000000000309CBF5A65DF6FFC1,35.6687720 ,139.6901610 ,0,1,00001B000000000309CBF5A65DF47FC1,00001B000000000309CBF5265DF87FC1, , , , , , 
00001B000000000309CBF4A65DF9FFC1,35.6687070 ,139.6903150 ,0,1,00001B000000000309CBF5265DF87FC1,00001B000000000309CBF0265DFDFFC1, , , , , , 
00001B000000000309CBEBA65E01FFC1,35.6682070 ,139.6907530 ,0,1,00001B000000000309CBF0265DFDFFC1,00001B000000000309CBE8265E047FC1, , , , , , 
00001B000000000309CBE4265E06FFC1,35.6677980 ,139.6910360 ,0,1,00001B000000000309CBE8265E047FC1,00001B000000000309CBE5A65E0B7FC1, , , , , , 
00001B000000000309CBE6A65E0FFFC1,35.6679300 ,139.6915540 ,0,1,00001B000000000309CBE5A65E0B7FC1,00001B000000000309CBE7265E107FC1,00001B000000000309CBE4265E117FC1, , , , , 
00001B000000000309CBE7A65E107FC1,35.6679840 ,139.6915730 ,0,1,00001B000000000309CBE7265E107FC1,00001B000000000309CBE8265E127FC1, , , , , , 
00001B000000000309CBE8265E147FC1,35.6680240 ,139.6917890 ,0,1,00001B000000000309CBE8265E127FC1,00001B000000000309CBE8265E157FC1, , , , , , 
00001B000000000309CBE2265E127FC1,35.6676710 ,139.6916930 ,0,1,00001B000000000309CBE4265E117FC1,00001B000000000309CBE1A65E13FFC1,00001B000000000309CBE0265E0BFFC1, , , , , 
00001B000000000309CBE1A65E14FFC1,35.6676500 ,139.6918210 ,0,1,00001B000000000309CBE1A65E13FFC1,00001B000000000309CBE2265E16FFC1,00001B000000000309CBE1265E157FC1, , , , , 
00001B000000000309CBE2A65E18FFC1,35.6677110 ,139.6920370 ,0,1,00001B000000000309CBE2265E16FFC1,00001B000000000309CBE3265E18FFC1,00001B000000000309CBE2265E197FC1, , , , , 
00001B000000000309CBE3A65E18FFC1,35.6677760 ,139.6920490 ,0,1,00001B000000000309CBE3265E18FFC1,00001B000000000309CBE5A65E17FFC1,00001B000000000309CBE4265E197FC1, , , , , 
00001B000000000309CBE7A65E16FFC1,35.6679940 ,139.6919260 ,0,1,00001B000000000309CBE5A65E17FFC1,00001B000000000309CBE8265E157FC1,00001B000000000309CBE8265E18FFC1, , , , , 
